GMT-M1,GMT-M1,JH-V1 SK38,JH-V1 SK38,JH-V2,JH-V2,Niky,Niky,L-V1,L-V1,
189,22.81,189,17.94,189,23.19,189,24.44,189,29,17
190,22.37,190,17.19,190,24.75,190,25.75,190,28.25,18
191,26.12,191,16.81,191,25,191,25.75,191,28.37,19
192,25.94,192,19.25,192,25.25,192,26.31,192,27.87,20
193,34.88,193,17.31,193,25.69,193,28.25,193,27.12,21
194,36.81,194,19.06,194,26.25,194,24.12,194,26.25,22
195,35.88,195,17.62,195,25.31,195,23.75,195,25,23
196,27,196,15.88,196,24.19,196,22.25,196,24.94,24
197,23.81,197,16.19,197,22.44,197,21,197,25.5,25
198,20.44,198,14.5,198,20.12,198,19.44,198,25.31,26
199,18.31,199,13.56,199,18,199,17.31,199,24.75,27
200,15.69,200,13.44,200,13.44,200,14.81,200,24.75,28
201,14,201,12.94,201,11.38,201,12,201,25.19,29
202,12.06,202,11.81,202,9.31,202,9.81,202,24.87,30
203,10.94,203,10.69,203,8.19,203,8.88,203,24.87,31
204,9.69,204,9.69,204,6.87,204,7.62,204,24.69,32
205,8.94,205,9.31,205,6.06,205,6.94,205,24.56,33
206,8.69,206,9,206,5.87,206,7.19,206,24.37,34
207,8,207,8.94,207,5,207,7.44,207,24.19,35
208,7.94,208,8.88,208,5.37,208,6.19,208,24.06,36
209,10.69,209,10.44,209,8.56,209,10.25,209,24.62,37
210,16.06,210,13.88,210,15.19,210,15.75,210,25.56,38
211,17.75,211,13.88,211,17.06,211,17.31,211,25.62,39
212,20.37,212,14.56,212,19.81,212,19.56,212,25.81,40
213,22.25,213,15.44,213,24.87,213,26,213,26.81,41
214,23.12,214,15.63,214,25.5,214,24.06,214,27.31,42
215,24.81,215,15.56,215,27.69,215,25.75,215,27.31,43
216,27.56,216,17.87,216,25.87,216,27.69,216,27.06,44
217,35.88,217,19.69,217,26.31,217,28.25,217,26.62,45
218,42.19,218,18.44,218,26.25,218,24.31,218,26.25,46
219,41.31,219,18.44,219,25.62,219,24.12,219,25.94,47
220,27.5,220,16.62,220,26.06,220,23.31,220,26.19,48
221,23.62,221,15.13,221,23.06,221,20.81,221,25.94,49
222,21.31,222,16.44,222,21.37,222,19.62,222,26.06,50
223,19.5,223,16.44,223,19.75,223,19,223,25.62,51
224,17.5,224,14.19,224,17.62,224,17,224,25.44,52
225,15.56,225,13.75,225,16.19,225,15.13,225,25.62,53
226,14.19,226,13.31,226,14.31,226,12.25,226,25.56,54
227,13.13,227,12.88,227,13.44,227,10.63,227,25.37,55
228,13.75,228,13,228,12.44,228,12.69,228,25.25,56
229,12.94,229,12.69,229,11.38,229,10.25,229,25.06,57
230,12.31,230,12.44,230,10.94,230,10.44,230,24.94,58
231,11.81,231,11.81,231,10.13,231,9.13,231,24.81,59
232,11.81,232,11.75,232,9.31,232,8.19,232,24.69,60
233,12.75,233,12.56,233,10.94,233,11.69,233,25,61
234,16.44,234,14.25,234,14.63,234,15.31,234,25.62,62
235,19.37,235,16.44,235,21.75,235,18.37,235,26.25,63
236,20.5,236,16.44,236,19.81,236,18.94,236,26.62,64
237,21.5,237,16.87,237,24.25,237,24.62,237,26.94,65
238,23.75,238,18.87,238,27.37,238,27.06,238,27.12,66
239,25.12,239,18.87,239,24.31,239,23.81,239,27.25,67
240,24.81,240,17.19,240,22.94,240,21.81,240,27,68
241,26.31,241,18.5,241,24,241,25.12,241,26.75,69
242,30.69,242,17.94,242,23.87,242,23.12,242,26.44,70
243,22.87,243,16.75,243,21.12,243,20.94,243,25.94,71
244,25.06,244,17.06,244,23,244,20.44,244,25.44,72
245,21.25,245,17,245,21.37,245,19.94,245,25.31,73
246,20.5,246,16.81,246,20.5,246,19.56,246,25.19,74
247,19.25,247,15.56,247,19.56,247,18.62,247,25.12,75
248,18.37,248,16.56,248,18.69,248,17.25,248,25.06,76
249,17.31,249,14.5,249,17.75,249,16,249,25.44,77
250,16.94,250,15,250,17.12,250,15.31,250,24.94,78
251,16.5,251,14.44,251,16.37,251,15.69,251,24.56,79
252,14.38,252,13.81,252,13.19,252,12.81,252,24.94,80
253,13.31,253,13.63,253,12.75,253,12.13,253,24.81,81
254,12.81,254,13.38,254,12.06,254,10.94,254,24.81,82
255,12.31,255,13.06,255,10.88,255,10.31,255,24.75,83
256,12.25,256,13.19,256,11.13,256,9.69,256,24.62,84
257,13.88,257,13.75,257,12.88,257,12.13,257,24.81,85
258,14.75,258,14.13,258,13.56,258,13.13,258,24.62,86
259,16.12,259,14.81,259,15.5,259,17.19,259,25.37,87
260,18.12,260,15.56,260,17.25,260,18.06,260,25.69,88
261,20.25,261,15.69,261,21.44,261,18.06,261,26.06,89
262,20.25,262,16.06,262,17.69,262,18.81,262,26.12,90
263,22.31,263,17.44,263,21.37,263,22.87,263,27.19,91
264,23.06,264,17.62,264,20.12,264,20.06,264,26.94,92
265,22.62,265,17.25,265,20.06,265,20.37,265,26.37,93
266,28.62,266,17.5,266,21.25,266,20.12,266,26.25,94
267,15.94,267,15.06,267,14.75,267,14.88,267,25.62,95
268,15.69,268,14.75,268,14.25,268,13.75,268,22.81,96
269,16.06,269,14.38,269,14.5,269,13.38,269,13.75,97
270,16.25,270,14.5,270,14.63,270,14.06,270,13.31,98
271,13.31,271,13.81,271,11.31,271,10.25,271,10.88,99
272,11.94,272,13.06,272,10,272,9.06,272,9.69,100
273,11.69,273,12.88,273,9.5,273,9.06,273,8.88,101
274,11.94,274,12.69,274,10.25,274,10.06,274,9.38,102
275,11.75,275,12.13,275,10.5,275,9.69,275,9.5,103
276,11.31,276,11.94,276,9.88,276,9.44,276,9.31,104
277,10.69,277,11.75,277,9.63,277,9,277,8.81,105
278,9.44,278,10.94,278,8.25,278,7.25,278,7.06,106
279,8.75,279,9.75,279,7.06,279,6.56,279,6.44,107
280,8.75,280,9.44,280,6.69,280,7.69,280,5.37,108
281,9.25,281,11,281,7.56,281,8.75,281,7.37,109
282,11.31,282,11.19,282,9.94,282,9.88,282,9.56,110
283,11.94,283,12.06,283,10.5,283,10.25,283,9.5,111
284,12.81,284,12.06,284,10.81,284,11.25,284,10.06,112
285,14.19,285,13.19,285,12.31,285,12.75,285,11.13,113
286,17.56,286,14.5,286,16.25,286,17.06,286,14.38,114
287,15.81,287,14.5,287,14.94,287,14.44,287,13.63,115
288,16.25,288,14.63,288,14.38,288,15.13,288,16.19,116
289,17.56,289,15,289,15.19,289,15.31,289,14.75,117
290,20.75,290,15.25,290,15.44,290,14.13,290,16.62,118
291,17.44,291,14.5,291,15.88,291,14.56,291,15.13,119
292,20.06,292,14.25,292,17.69,292,13.94,292,14.56,120
293,15,293,13.75,293,13.63,293,12.5,293,14.69,121
294,13.06,294,13.06,294,12.81,294,11.25,294,11.88,122
295,11.19,295,12.25,295,10.13,295,8.56,295,8.69,123
